,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,NM0AE8FX4G1261125,728,73 131S,,2016,Ford,Transit Connect XLT Wagon SWB,"11,271","11,271","13,878","2,607","2,607", , ,,,,,,,
FAC MGMT,1FT7W2B66LED69480,921,78 598S,,2020,Ford,F250 4x4 crew cab w/stake body,"8,271","8,271","10,876","2,605","2,605",, ,,,,,,,
FAC MGMT,1FT7X2A61FEA35344,589,67 492S,,2015,Ford,F250 Supercab P/U,"28,204","28,204","30,801","2,596","2,596", , ,,,,,,,
FAC MGMT,1FTYE9ZM1JKA43332,873,76 522S,,2018,Ford,Transit150 Low Roof Cargo Van,"28,935","28,935","31,530","2,595","2,595",, ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98954,1017,83 425S,,2022,Ford,Escape Hybrid,"1,996","1,996","4,563","2,567","2,567",, ,,,,,,,
FAC MGMT,1GTH5BEA5K1359553,911,78 557S,,2019,GMC,Canyone Base,"8,648","8,648","11,212","2,564","2,564",, ,,,,,,,
FAC MGMT,NM0AE8F71E1151145,636,68 122S,,2014,Ford,Transit Connect XLT Wagon,"23,876","23,876","26,439","2,563","2,563", , ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA48431,1065,84 063S,,2023,Ford,Escape Hybrid,156,247,"2,766","2,519","2,610",, ,,,,,,,
FAC MGMT,NM0LS7S21N1540292,989,83 411S,,2022,Ford,Transit,"1,775","1,775","4,290","2,514","2,514",, ,,,,,,,
FAC MGMT,1GD39LE74PF136600,1045,83 449S,,2023,GMC,Sierra 2500HD Pro,850,850,"3,356","2,505","2,505",, ,,,,,,,
FAC MGMT,1N6AD0CW0JN727925,778,74 180S,,2018,Nissan,Frontier P/U 4x4,"20,651","20,651","23,152","2,501","2,501",, ,,,,,,,
FAC MGMT,1GD07RFGXJ1262569,835,75 643S,,2018,GMC,Savana 2500 Cutaway w/12' Box & Lift Gate,"7,597","7,597","10,094","2,497","2,497",, ,,,,,,,
FAC MGMT,1FT7X2A6XFEA59089,594,67 491S,,2015,Ford,F250 Supercab,"46,964","46,964","49,454","2,490","2,490", , ,,,,,,,
FAC MGMT,NM0LS7S29N1540346,1012,83 427S,,2022,Ford,Transit Connect XL,"1,355","1,355","3,828","2,473","2,473",, ,,,,,,,
FAC MGMT,1C4NJDBB8GD632448,670,70 496S,,2016,Jeep,Compass,"17,324","17,324","19,760","2,436","2,436", , ,,,,,,,
FAC MGMT,1N4AL3AP7JC299744,870,76 508S,,2018,Nissan,Altima,"9,692","9,692","12,115","2,423","2,423",, ,,,,,,,
FAC MGMT,3N6CM0KN3KK699532,891,76 536S,,2019,Nissan,NV200 S cargo van,"9,626","9,626","12,014","2,388","2,388",, ,,,,,,,
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"37,066","37,066","39,451","2,385","2,385", , ,,,,,,,
FAC MGMT,1GCWGFCG1F1210000,652,69 471S,,2015,Chevrolet,Express 2500,"22,128","22,128","24,494","2,366","2,366", , ,,,,,,,
FAC MGMT,NM0AE8F70G1254589,729,73 130S,,2016,Ford,Transit Connect XLT Wagon SWB,"12,469","12,469","14,829","2,360","2,360", , ,,,,,,,
FAC MGMT,1FDBF2A66NEC15927,953,80 735S,,2022,Ford,F250 Stake Body & Lift Gate,"3,384","3,384","5,742","2,359","2,359",, ,,,,,,,
FAC MGMT,1FTYR1YM7JKA99167,912,78 559S,,2018,Ford,Transit250 ,"13,587","13,587","15,933","2,346","2,346",, ,,,,,,,
FAC MGMT,ZFBERFAB3H6G39115,747,74 160S,,2017,Dodge,Ram Promaster City Van,"15,457","15,457","17,795","2,338","2,338",, ,,,,,,,
FAC MGMT,1N6BD0CTXHN742212,779,74 181S,,2017,Nissan,Frontier P/U ,"20,450","20,450","22,784","2,334","2,334",, ,,,,,,,
FAC MGMT,1GB0YLE75PF112658,1083,84 056S,,2023,Chevrolet,Silverado 2500HD,65,889,"3,221","2,332","3,155",, ,,,,,,,
FAC MGMT,1FTBR1Z81MKA89407,970,80 736S,,2021,Ford,Transit250,"4,001","4,001","6,318","2,317","2,317",, ,,,,,,,
FAC MGMT,1GTH6AEA1F1155104,657,69 917S,,2015,GMC,Canyon,"23,231","23,231","25,543","2,312","2,312", , ,,,,,,,
